variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,16,100.0,0.0,100.0,0.0
P_P,2,16,100.0,0.0,68.75,0.0
P_P,3,15,100.0,0.0,46.67,0.0
P_P,4,14,100.0,0.0,35.71,0.0
P_P,5,14,100.0,0.0,21.43,0.0
T_T,1,16,100.0,0.0,100.0,0.0
T_T,2,16,100.0,0.0,100.0,0.0
T_T,3,16,100.0,0.0,100.0,0.0
T_T,4,16,100.0,0.0,100.0,0.0
T_T,5,16,100.0,0.0,100.0,0.0
T_H,0,14,100.0,0.0,35.71,0.0
T_H,1,13,92.31,7.69,30.77,0.0
T_H,2,13,76.92,23.08,23.08,0.0
T_H,3,13,76.92,23.08,23.08,0.0
T_H,4,13,76.92,23.08,23.08,0.0
T_H,5,13,76.92,23.08,23.08,0.0
H_T,0,14,100.0,0.0,35.71,0.0
H_T,1,14,92.86,7.14,28.57,0.0
H_T,2,14,92.86,7.14,28.57,0.0
H_T,3,14,85.71,14.29,28.57,0.0
H_T,4,13,84.62,15.38,30.77,0.0
H_T,5,13,84.62,15.38,30.77,0.0
H_H,1,16,100.0,0.0,100.0,0.0
H_H,2,16,100.0,0.0,93.75,0.0
H_H,3,15,100.0,0.0,93.33,0.0
H_H,4,15,100.0,0.0,80.0,0.0
H_H,5,15,100.0,0.0,80.0,0.0
T_aero,0,12,83.33,16.67,0.0,0.0
T_aero,1,12,75.0,25.0,0.0,0.0
T_aero,2,12,75.0,25.0,0.0,0.0
T_aero,3,12,75.0,25.0,0.0,0.0
T_aero,4,13,69.23,30.77,0.0,0.0
T_aero,5,13,69.23,30.77,0.0,0.0
H_aero,0,13,84.62,15.38,0.0,0.0
H_aero,1,13,84.62,15.38,0.0,0.0
H_aero,2,13,76.92,23.08,0.0,0.0
H_aero,3,13,76.92,23.08,0.0,0.0
H_aero,4,13,76.92,23.08,0.0,0.0
H_aero,5,13,76.92,23.08,0.0,0.0
aero_T,0,12,83.33,16.67,0.0,0.0
aero_T,1,12,83.33,16.67,0.0,0.0
aero_T,2,11,90.91,9.09,0.0,0.0
aero_T,3,11,90.91,9.09,0.0,0.0
aero_T,4,11,90.91,9.09,0.0,0.0
aero_T,5,11,100.0,0.0,0.0,0.0
aero_H,0,13,84.62,15.38,0.0,0.0
aero_H,1,15,80.0,20.0,0.0,0.0
aero_H,2,15,80.0,20.0,0.0,0.0
aero_H,3,14,85.71,14.29,0.0,0.0
aero_H,4,14,85.71,14.29,0.0,0.0
aero_H,5,13,84.62,15.38,0.0,0.0
aero_aero,1,16,100.0,0.0,100.0,0.0
aero_aero,2,16,100.0,0.0,93.75,0.0
aero_aero,3,16,100.0,0.0,93.75,0.0
aero_aero,4,15,100.0,0.0,93.33,0.0
aero_aero,5,15,100.0,0.0,80.0,0.0
P_T,0,5,40.0,60.0,0.0,0.0
P_T,1,6,33.33,66.67,0.0,0.0
P_T,2,5,20.0,80.0,0.0,0.0
P_T,3,6,16.67,83.33,0.0,0.0
P_T,4,6,16.67,83.33,0.0,0.0
P_T,5,6,16.67,83.33,0.0,0.0
P_H,0,7,71.43,28.57,0.0,0.0
P_H,1,7,71.43,28.57,0.0,0.0
P_H,2,5,80.0,20.0,0.0,0.0
P_H,3,5,60.0,40.0,0.0,0.0
P_H,4,6,50.0,50.0,0.0,0.0
P_H,5,6,66.67,33.33,0.0,0.0
T_P,0,5,40.0,60.0,0.0,0.0
T_P,1,4,50.0,50.0,0.0,0.0
T_P,2,4,50.0,50.0,0.0,0.0
T_P,3,4,25.0,75.0,0.0,0.0
T_P,4,4,25.0,75.0,0.0,0.0
T_P,5,4,25.0,75.0,0.0,0.0
H_P,2,7,42.86,57.14,0.0,0.0
H_P,3,7,42.86,57.14,0.0,0.0
H_P,4,7,57.14,42.86,0.0,0.0
H_P,5,7,42.86,57.14,0.0,0.0
H_P,0,7,71.43,28.57,0.0,0.0
H_P,1,6,83.33,16.67,0.0,0.0
P_aero,0,7,42.86,57.14,0.0,0.0
P_aero,1,7,42.86,57.14,0.0,0.0
P_aero,2,7,42.86,57.14,0.0,0.0
P_aero,3,7,42.86,57.14,0.0,0.0
P_aero,4,7,42.86,57.14,0.0,0.0
P_aero,5,7,42.86,57.14,0.0,0.0
aero_P,0,7,42.86,57.14,0.0,0.0
aero_P,1,7,42.86,57.14,0.0,0.0
aero_P,2,6,50.0,50.0,0.0,0.0
aero_P,3,6,33.33,66.67,0.0,0.0
aero_P,4,7,28.57,71.43,0.0,0.0
aero_P,5,6,33.33,66.67,0.0,0.0
