variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,53,90.57,9.43,88.68,0.0
P_P,2,49,95.92,4.08,65.31,0.0
P_P,3,44,95.45,4.55,43.18,0.0
P_P,4,39,97.44,2.56,30.77,0.0
P_P,5,38,94.74,5.26,23.68,0.0
P_H,0,13,46.15,53.85,0.0,0.0
P_H,1,13,61.54,38.46,0.0,0.0
P_H,2,12,50.0,50.0,0.0,0.0
P_H,3,12,50.0,50.0,0.0,0.0
P_H,4,13,46.15,53.85,0.0,0.0
P_H,5,14,42.86,57.14,0.0,0.0
P_aero,0,21,52.38,47.62,0.0,0.0
P_aero,1,20,55.0,45.0,0.0,0.0
P_aero,2,20,55.0,45.0,0.0,0.0
P_aero,3,23,60.87,39.13,0.0,0.0
P_aero,4,22,59.09,40.91,0.0,0.0
P_aero,5,24,54.17,45.83,0.0,0.0
T_T,1,53,96.23,3.77,90.57,0.0
T_T,2,53,98.11,1.89,90.57,0.0
T_T,3,53,94.34,5.66,81.13,0.0
T_T,4,49,100.0,0.0,79.59,0.0
T_T,5,49,97.96,2.04,75.51,0.0
T_H,0,48,93.75,6.25,62.5,2.08
T_H,1,47,89.36,10.64,51.06,2.13
T_H,2,45,95.56,4.44,48.89,2.22
T_H,3,45,93.33,6.67,37.78,2.22
T_H,4,46,89.13,10.87,32.61,2.17
T_H,5,45,84.44,15.56,33.33,2.22
T_aero,0,40,45.0,55.0,2.5,0.0
T_aero,1,38,39.47,60.53,2.63,0.0
T_aero,2,37,40.54,59.46,2.7,0.0
T_aero,3,38,42.11,57.89,2.63,0.0
T_aero,4,39,35.9,64.1,2.56,0.0
T_aero,5,38,39.47,60.53,2.63,0.0
H_P,0,13,46.15,53.85,0.0,0.0
H_P,1,15,46.67,53.33,0.0,0.0
H_P,2,15,40.0,60.0,0.0,0.0
H_P,3,18,38.89,61.11,0.0,0.0
H_P,4,17,47.06,52.94,0.0,0.0
H_P,5,16,50.0,50.0,0.0,0.0
H_T,0,48,93.75,6.25,62.5,2.08
H_T,1,47,93.62,6.38,57.45,2.13
H_T,2,47,97.87,2.13,53.19,2.13
H_T,3,46,93.48,6.52,50.0,0.0
H_T,4,44,97.73,2.27,38.64,0.0
H_T,5,44,95.45,4.55,34.09,0.0
H_H,1,54,94.44,5.56,92.59,0.0
H_H,2,54,98.15,1.85,90.74,0.0
H_H,3,52,96.15,3.85,76.92,0.0
H_H,4,51,98.04,1.96,68.63,0.0
H_H,5,49,95.92,4.08,63.27,0.0
H_aero,0,36,55.56,44.44,8.33,0.0
H_aero,1,36,55.56,44.44,8.33,0.0
H_aero,2,35,57.14,42.86,8.57,0.0
H_aero,3,33,57.58,42.42,6.06,0.0
H_aero,4,33,60.61,39.39,3.03,0.0
H_aero,5,33,60.61,39.39,3.03,0.0
aero_P,0,21,52.38,47.62,0.0,0.0
aero_P,1,22,50.0,50.0,0.0,0.0
aero_P,2,22,40.91,59.09,0.0,0.0
aero_P,3,22,50.0,50.0,0.0,0.0
aero_P,4,23,43.48,56.52,0.0,0.0
aero_P,5,22,31.82,68.18,0.0,0.0
aero_T,0,40,45.0,55.0,2.5,0.0
aero_T,1,39,46.15,53.85,5.13,2.56
aero_T,2,41,39.02,60.98,4.88,2.44
aero_T,3,41,46.34,53.66,2.44,2.44
aero_T,4,40,47.5,52.5,2.5,2.5
aero_T,5,42,50.0,50.0,4.76,2.38
aero_H,0,36,55.56,44.44,8.33,0.0
aero_H,1,37,62.16,37.84,8.11,2.7
aero_H,2,37,64.86,35.14,5.41,2.7
aero_H,3,36,63.89,36.11,8.33,2.78
aero_H,4,35,62.86,37.14,8.57,2.86
aero_H,5,38,73.68,26.32,7.89,2.63
aero_aero,1,53,100.0,0.0,98.11,0.0
aero_aero,2,52,100.0,0.0,94.23,0.0
aero_aero,3,52,100.0,0.0,80.77,0.0
aero_aero,4,52,100.0,0.0,65.38,0.0
aero_aero,5,51,98.04,1.96,60.78,0.0
P_T,5,18,33.33,66.67,0.0,0.0
P_T,0,20,35.0,65.0,0.0,0.0
P_T,1,20,35.0,65.0,0.0,0.0
P_T,2,18,33.33,66.67,0.0,0.0
P_T,3,17,35.29,64.71,0.0,0.0
P_T,4,18,38.89,61.11,0.0,0.0
T_P,0,20,35.0,65.0,0.0,0.0
T_P,1,22,50.0,50.0,0.0,0.0
T_P,2,20,60.0,40.0,0.0,0.0
T_P,3,21,61.9,38.1,4.76,0.0
T_P,4,21,76.19,23.81,0.0,0.0
T_P,5,18,66.67,33.33,0.0,0.0
