variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,36,75.0,25.0,47.22,0.0
P_P,2,26,80.77,19.23,15.38,0.0
P_P,3,21,85.71,14.29,19.05,0.0
P_P,4,14,71.43,28.57,7.14,0.0
P_P,5,10,90.0,10.0,10.0,0.0
P_T,0,7,85.71,14.29,0.0,0.0
P_T,1,5,80.0,20.0,0.0,0.0
P_T,2,7,57.14,42.86,0.0,0.0
P_T,3,7,57.14,42.86,0.0,0.0
P_T,4,6,50.0,50.0,0.0,0.0
P_T,5,6,33.33,66.67,0.0,0.0
P_H,0,6,83.33,16.67,0.0,0.0
P_H,1,4,100.0,0.0,0.0,0.0
P_H,2,5,80.0,20.0,0.0,0.0
P_H,3,5,80.0,20.0,0.0,0.0
P_H,4,6,83.33,16.67,16.67,0.0
P_H,5,5,80.0,20.0,20.0,0.0
T_P,0,7,85.71,14.29,0.0,0.0
T_P,1,9,66.67,33.33,0.0,0.0
T_P,2,9,66.67,33.33,0.0,0.0
T_P,3,10,70.0,30.0,0.0,0.0
T_P,4,11,63.64,36.36,0.0,0.0
T_P,5,9,66.67,33.33,0.0,0.0
T_T,1,43,90.7,9.3,81.4,0.0
T_T,2,43,90.7,9.3,76.74,0.0
T_T,3,40,82.5,17.5,62.5,0.0
T_T,4,39,84.62,15.38,51.28,0.0
T_T,5,35,85.71,14.29,45.71,0.0
T_H,0,30,73.33,26.67,53.33,3.33
T_H,1,29,62.07,37.93,6.9,0.0
T_H,2,30,60.0,40.0,6.67,0.0
T_H,3,30,53.33,46.67,6.67,0.0
T_H,4,29,51.72,48.28,10.34,0.0
T_H,5,27,51.85,48.15,7.41,0.0
H_P,0,6,83.33,16.67,0.0,0.0
H_P,1,6,100.0,0.0,0.0,0.0
H_P,2,6,83.33,16.67,0.0,0.0
H_P,3,8,75.0,25.0,0.0,0.0
H_P,4,6,66.67,33.33,0.0,0.0
H_P,5,5,80.0,20.0,0.0,0.0
H_T,0,30,73.33,26.67,53.33,3.33
H_T,1,32,59.38,40.62,15.62,3.12
H_T,2,35,62.86,37.14,11.43,2.86
H_T,3,32,50.0,50.0,6.25,3.12
H_T,4,32,53.12,46.88,6.25,6.25
H_T,5,32,53.12,46.88,6.25,3.12
H_H,1,41,75.61,24.39,60.98,0.0
H_H,2,38,78.95,21.05,55.26,0.0
H_H,3,37,70.27,29.73,45.95,0.0
H_H,4,33,72.73,27.27,30.3,0.0
H_H,5,32,75.0,25.0,31.25,0.0
T_aero,0,26,53.85,46.15,3.85,0.0
T_aero,1,24,54.17,45.83,0.0,0.0
T_aero,2,22,59.09,40.91,0.0,0.0
T_aero,3,23,65.22,34.78,0.0,0.0
T_aero,4,23,65.22,34.78,0.0,0.0
T_aero,5,21,57.14,42.86,0.0,0.0
H_aero,0,20,50.0,50.0,5.0,0.0
H_aero,1,18,33.33,66.67,0.0,0.0
H_aero,2,17,35.29,64.71,0.0,0.0
H_aero,3,19,36.84,63.16,0.0,0.0
H_aero,4,21,38.1,61.9,0.0,0.0
H_aero,5,20,30.0,70.0,0.0,0.0
aero_T,0,26,53.85,46.15,3.85,0.0
aero_T,1,26,46.15,53.85,0.0,0.0
aero_T,2,24,58.33,41.67,0.0,0.0
aero_T,3,25,52.0,48.0,0.0,0.0
aero_T,4,26,50.0,50.0,0.0,0.0
aero_T,5,25,48.0,52.0,0.0,0.0
aero_H,0,20,50.0,50.0,5.0,0.0
aero_H,1,19,26.32,73.68,0.0,0.0
aero_H,2,17,47.06,52.94,0.0,0.0
aero_H,3,17,41.18,58.82,0.0,0.0
aero_H,4,19,47.37,52.63,0.0,0.0
aero_H,5,18,50.0,50.0,0.0,0.0
aero_aero,1,40,77.5,22.5,72.5,0.0
aero_aero,2,39,79.49,20.51,69.23,0.0
aero_aero,3,36,80.56,19.44,55.56,0.0
aero_aero,4,34,85.29,14.71,52.94,0.0
aero_aero,5,33,75.76,24.24,39.39,0.0
P_aero,0,11,63.64,36.36,9.09,0.0
P_aero,1,12,66.67,33.33,8.33,0.0
P_aero,2,11,45.45,54.55,0.0,0.0
P_aero,3,10,60.0,40.0,0.0,0.0
P_aero,4,9,55.56,44.44,0.0,0.0
P_aero,5,12,58.33,41.67,0.0,0.0
aero_P,0,11,63.64,36.36,9.09,0.0
aero_P,1,11,54.55,45.45,9.09,0.0
aero_P,2,12,58.33,41.67,8.33,0.0
aero_P,3,11,72.73,27.27,0.0,0.0
aero_P,4,10,70.0,30.0,0.0,0.0
aero_P,5,10,60.0,40.0,0.0,0.0
